F	V
1.46198646615700e+006	(-4.64460903387601e+001,1.79999622693448e+002)
1.46535669302816e+006	(-4.64054585141850e+001,1.79999622693448e+002)
1.46873468907463e+006	(-4.63648339222887e+001,1.79999622693448e+002)
1.47212047220622e+006	(-4.63242165503588e+001,1.79999622693448e+002)
1.47551406037401e+006	(-4.62836063857701e+001,1.79999622693448e+002)
1.47891547157046e+006	(-4.62430034159842e+001,1.79999622693448e+002)
1.48232472382951e+006	(-4.62024076285495e+001,1.79999622693448e+002)
1.48574183522670e+006	(-4.61618190111008e+001,1.79999622693448e+002)
1.48916682387919e+006	(-4.61212375513589e+001,1.79938507921153e+002)
1.49259970794594e+006	(-4.60806632371306e+001,1.79877391469256e+002)
1.49604050562776e+006	(-4.60400960563085e+001,1.79816273142363e+002)
1.49948923516742e+006	(-4.59995359968702e+001,1.79755152745021e+002)
1.50294591484972e+006	(-4.59589830468789e+001,1.79694030081724e+002)
1.50641056300166e+006	(-4.59184371944823e+001,1.79632904956916e+002)
1.50988319799244e+006	(-4.58778984279127e+001,1.79571777174993e+002)
1.51336383823363e+006	(-4.58373667354868e+001,1.79510646540307e+002)
1.51685250217925e+006	(-4.57968421056054e+001,1.79449512857171e+002)
1.52034920832583e+006	(-4.57563245267529e+001,1.79388375929861e+002)
1.52385397521256e+006	(-4.57158139874973e+001,1.79327235562618e+002)
1.52736682142138e+006	(-4.56753104764896e+001,1.79266091559655e+002)
1.53088776557704e+006	(-4.56348139824640e+001,1.79204943725156e+002)
1.53441682634724e+006	(-4.55943244942370e+001,1.79143791863283e+002)
1.53795402244271e+006	(-4.55538420007077e+001,1.79082635778178e+002)
1.54149937261730e+006	(-4.55133664908572e+001,1.79021475273964e+002)
1.54505289566812e+006	(-4.54728979537481e+001,1.78960310154754e+002)
1.54861461043558e+006	(-4.54324363785247e+001,1.78899140224649e+002)
1.55218453580355e+006	(-4.53919817544123e+001,1.78837965287743e+002)
1.55576269069941e+006	(-4.53515340707172e+001,1.78776785148128e+002)
1.55934909409419e+006	(-4.53110933168262e+001,1.78715599609896e+002)
1.56294376500263e+006	(-4.52706594822061e+001,1.78654408477141e+002)
1.56654672248333e+006	(-4.52302325564039e+001,1.78593211553965e+002)
1.57015798563881e+006	(-4.51898125290460e+001,1.78532008644481e+002)
1.57377757361562e+006	(-4.51493993898384e+001,1.78470799552813e+002)
1.57740550560446e+006	(-4.51089931285657e+001,1.78409584083103e+002)
1.58104180084027e+006	(-4.50685937350914e+001,1.78348362039516e+002)
1.58468647860232e+006	(-4.50282011993572e+001,1.78287133226235e+002)
1.58833955821433e+006	(-4.49878155113829e+001,1.78225897447475e+002)
1.59200105904456e+006	(-4.49474366612659e+001,1.78164654507479e+002)
1.59567100050592e+006	(-4.49070646391809e+001,1.78103404210524e+002)
1.59934940205609e+006	(-4.48666994353798e+001,1.78042146360923e+002)
1.60303628319757e+006	(-4.48263410401909e+001,1.77980880763032e+002)
1.60673166347786e+006	(-4.47859894440191e+001,1.77919607221247e+002)
1.61043556248947e+006	(-4.47456446373452e+001,1.77858325540015e+002)
1.61414799987013e+006	(-4.47053066107254e+001,1.77797035523830e+002)
1.61786899530279e+006	(-4.46649753547915e+001,1.77735736977243e+002)
1.62159856851582e+006	(-4.46246508602502e+001,1.77674429704860e+002)
1.62533673928303e+006	(-4.45843331178826e+001,1.77613113511347e+002)
1.62908352742383e+006	(-4.45440221185443e+001,1.77551788201436e+002)
1.63283895280333e+006	(-4.45037178531645e+001,1.77490453579924e+002)
1.63660303533241e+006	(-4.44634203127460e+001,1.77429109451681e+002)
1.64037579496786e+006	(-4.44231294883649e+001,1.77367755621649e+002)
1.64415725171249e+006	(-4.43828453711699e+001,1.77306391894847e+002)
1.64794742561519e+006	(-4.43425679523821e+001,1.77245018076377e+002)
1.65174633677110e+006	(-4.43022972232947e+001,1.77183633971423e+002)
1.65555400532165e+006	(-4.42620331752725e+001,1.77122239385257e+002)
1.65937045145474e+006	(-4.42217757997516e+001,1.77060834123242e+002)
1.66319569540477e+006	(-4.41815250882391e+001,1.76999417990835e+002)
1.66702975745282e+006	(-4.41412810323123e+001,1.76937990793589e+002)
1.67087265792669e+006	(-4.41010436236189e+001,1.76876552337161e+002)
1.67472441720107e+006	(-4.40608128538762e+001,1.76815102427309e+002)
1.67858505569759e+006	(-4.40205887148709e+001,1.76753640869900e+002)
1.68245459388497e+006	(-4.39803711984583e+001,1.76692167470913e+002)
1.68633305227913e+006	(-4.39401602965628e+001,1.76630682036440e+002)
1.69022045144327e+006	(-4.38999560011763e+001,1.76569184372690e+002)
1.69411681198798e+006	(-4.38597583043590e+001,1.76507674285994e+002)
1.69802215457138e+006	(-4.38195671982378e+001,1.76446151582809e+002)
1.70193649989922e+006	(-4.37793826750070e+001,1.76384616069717e+002)
1.70585986872495e+006	(-4.37392047269270e+001,1.76323067553432e+002)
1.70979228184990e+006	(-4.36990333463244e+001,1.76261505840804e+002)
1.71373376012332e+006	(-4.36588685255916e+001,1.76199930738820e+002)
1.71768432444254e+006	(-4.36187102571857e+001,1.76138342054607e+002)
1.72164399575305e+006	(-4.35785585336291e+001,1.76076739595439e+002)
1.72561279504865e+006	(-4.35384133475081e+001,1.76015123168737e+002)
1.72959074337151e+006	(-4.34982746914732e+001,1.75953492582073e+002)
1.73357786181231e+006	(-4.34581425582382e+001,1.75891847643175e+002)
1.73757417151036e+006	(-4.34180169405799e+001,1.75830188159928e+002)
1.74157969365371e+006	(-4.33778978313376e+001,1.75768513940380e+002)
1.74559444947921e+006	(-4.33377852234130e+001,1.75706824792742e+002)
1.74961846027272e+006	(-4.32976791097690e+001,1.75645120525397e+002)
1.75365174736914e+006	(-4.32575794834300e+001,1.75583400946896e+002)
1.75769433215255e+006	(-4.32174863374810e+001,1.75521665865966e+002)
1.76174623605634e+006	(-4.31773996650675e+001,1.75459915091516e+002)
1.76580748056329e+006	(-4.31373194593944e+001,1.75398148432632e+002)
1.76987808720572e+006	(-4.30972457137262e+001,1.75336365698589e+002)
1.77395807756559e+006	(-4.30571784213863e+001,1.75274566698849e+002)
1.77804747327459e+006	(-4.30171175757561e+001,1.75212751243068e+002)
1.78214629601430e+006	(-4.29770631702754e+001,1.75150919141095e+002)
1.78625456751626e+006	(-4.29370151984409e+001,1.75089070202981e+002)
1.79037230956212e+006	(-4.28969736538066e+001,1.75027204238977e+002)
1.79449954398374e+006	(-4.28569385299826e+001,1.74965321059542e+002)
1.79863629266330e+006	(-4.28169098206351e+001,1.74903420475343e+002)
1.80278257753344e+006	(-4.27768875194858e+001,1.74841502297259e+002)
1.80693842057735e+006	(-4.27368716203109e+001,1.74779566336388e+002)
1.81110384382888e+006	(-4.26968621169415e+001,1.74717612404043e+002)
1.81527886937271e+006	(-4.26568590032623e+001,1.74655640311765e+002)
1.81946351934439e+006	(-4.26168622732113e+001,1.74593649871318e+002)
1.82365781593053e+006	(-4.25768719207796e+001,1.74531640894696e+002)
1.82786178136887e+006	(-4.25368879400103e+001,1.74469613194129e+002)
1.83207543794842e+006	(-4.24969103249985e+001,1.74407566582082e+002)
1.83629880800957e+006	(-4.24569390698907e+001,1.74345500871258e+002)
1.84053191394419e+006	(-4.24169741688837e+001,1.74283415874607e+002)
1.84477477819581e+006	(-4.23770156162247e+001,1.74221311405325e+002)
1.84902742325965e+006	(-4.23370634062107e+001,1.74159187276857e+002)
1.85328987168283e+006	(-4.22971175331874e+001,1.74097043302903e+002)
1.85756214606442e+006	(-4.22571779915494e+001,1.74034879297422e+002)
1.86184426905559e+006	(-4.22172447757390e+001,1.73972695074631e+002)
1.86613626335974e+006	(-4.21773178802460e+001,1.73910490449013e+002)
1.87043815173258e+006	(-4.21373972996070e+001,1.73848265235318e+002)
1.87474995698231e+006	(-4.20974830284051e+001,1.73786019248567e+002)
1.87907170196969e+006	(-4.20575750612686e+001,1.73723752304057e+002)
1.88340340960817e+006	(-4.20176733928714e+001,1.73661464217362e+002)
1.88774510286405e+006	(-4.19777780179317e+001,1.73599154804337e+002)
1.89209680475654e+006	(-4.19378889312116e+001,1.73536823881123e+002)
1.89645853835794e+006	(-4.18980061275167e+001,1.73474471264150e+002)
1.90083032679372e+006	(-4.18581296016951e+001,1.73412096770139e+002)
1.90521219324267e+006	(-4.18182593486374e+001,1.73349700216106e+002)
1.90960416093701e+006	(-4.17783953632754e+001,1.73287281419368e+002)
1.91400625316252e+006	(-4.17385376405820e+001,1.73224840197542e+002)
1.91841849325865e+006	(-4.16986861755704e+001,1.73162376368553e+002)
1.92284090461865e+006	(-4.16588409632935e+001,1.73099889750634e+002)
1.92727351068972e+006	(-4.16190019988431e+001,1.73037380162331e+002)
1.93171633497309e+006	(-4.15791692773497e+001,1.72974847422507e+002)
1.93616940102417e+006	(-4.15393427939815e+001,1.72912291350345e+002)
1.94063273245268e+006	(-4.14995225439437e+001,1.72849711765350e+002)
1.94510635292275e+006	(-4.14597085224782e+001,1.72787108487355e+002)
1.94959028615307e+006	(-4.14199007248627e+001,1.72724481336523e+002)
1.95408455591701e+006	(-4.13800991464102e+001,1.72661830133351e+002)
1.95858918604275e+006	(-4.13403037824681e+001,1.72599154698674e+002)
1.96310420041337e+006	(-4.13005146284178e+001,1.72536454853667e+002)
1.96762962296705e+006	(-4.12607316796739e+001,1.72473730419849e+002)
1.97216547769712e+006	(-4.12209549316835e+001,1.72410981219087e+002)
1.97671178865223e+006	(-4.11811843799257e+001,1.72348207073601e+002)
1.98126857993646e+006	(-4.11414200199106e+001,1.72285407805965e+002)
1.98583587570948e+006	(-4.11016618471789e+001,1.72222583239110e+002)
1.99041370018662e+006	(-4.10619098573012e+001,1.72159733196330e+002)
1.99500207763906e+006	(-4.10221640458769e+001,1.72096857501287e+002)
1.99960103239393e+006	(-4.09824244085340e+001,1.72033955978007e+002)
2.00421058883441e+006	(-4.09426909409283e+001,1.71971028450892e+002)
2.00883077139992e+006	(-4.09029636387423e+001,1.71908074744720e+002)
2.01346160458621e+006	(-4.08632424976849e+001,1.71845094684648e+002)
2.01810311294549e+006	(-4.08235275134904e+001,1.71782088096215e+002)
2.02275532108658e+006	(-4.07838186819182e+001,1.71719054805348e+002)
2.02741825367502e+006	(-4.07441159987512e+001,1.71655994638365e+002)
2.03209193543322e+006	(-4.07044194597962e+001,1.71592907421975e+002)
2.03677639114057e+006	(-4.06647290608822e+001,1.71529792983287e+002)
2.04147164563360e+006	(-4.06250447978599e+001,1.71466651149810e+002)
2.04617772380606e+006	(-4.05853666666015e+001,1.71403481749457e+002)
2.05089465060913e+006	(-4.05456946629989e+001,1.71340284610548e+002)
2.05562245105148e+006	(-4.05060287829641e+001,1.71277059561817e+002)
2.06036115019943e+006	(-4.04663690224272e+001,1.71213806432412e+002)
2.06511077317709e+006	(-4.04267153773367e+001,1.71150525051898e+002)
2.06987134516650e+006	(-4.03870678436582e+001,1.71087215250264e+002)
2.07464289140773e+006	(-4.03474264173734e+001,1.71023876857924e+002)
2.07942543719905e+006	(-4.03077910944797e+001,1.70960509705721e+002)
2.08421900789703e+006	(-4.02681618709893e+001,1.70897113624932e+002)
2.08902362891672e+006	(-4.02285387429283e+001,1.70833688447270e+002)
2.09383932573173e+006	(-4.01889217063359e+001,1.70770234004886e+002)
2.09866612387441e+006	(-4.01493107572635e+001,1.70706750130378e+002)
2.10350404893596e+006	(-4.01097058917741e+001,1.70643236656788e+002)
2.10835312656659e+006	(-4.00701071059412e+001,1.70579693417610e+002)
2.11321338247561e+006	(-4.00305143958482e+001,1.70516120246792e+002)
2.11808484243162e+006	(-3.99909277575871e+001,1.70452516978741e+002)
2.12296753226261e+006	(-3.99513471872584e+001,1.70388883448323e+002)
2.12786147785613e+006	(-3.99117726809695e+001,1.70325219490870e+002)
2.13276670515938e+006	(-3.98722042348342e+001,1.70261524942184e+002)
2.13768324017939e+006	(-3.98326418449717e+001,1.70197799638537e+002)
2.14261110898314e+006	(-3.97930855075059e+001,1.70134043416678e+002)
2.14755033769770e+006	(-3.97535352185642e+001,1.70070256113835e+002)
2.15250095251036e+006	(-3.97139909742770e+001,1.70006437567717e+002)
2.15746297966880e+006	(-3.96744527707762e+001,1.69942587616523e+002)
2.16243644548120e+006	(-3.96349206041950e+001,1.69878706098939e+002)
2.16742137631636e+006	(-3.95953944706666e+001,1.69814792854145e+002)
2.17241779860389e+006	(-3.95558743663231e+001,1.69750847721820e+002)
2.17742573883434e+006	(-3.95163602872950e+001,1.69686870542141e+002)
2.18244522355930e+006	(-3.94768522297099e+001,1.69622861155792e+002)
2.18747627939158e+006	(-3.94373501896919e+001,1.69558819403963e+002)
2.19251893300534e+006	(-3.93978541633602e+001,1.69494745128357e+002)
2.19757321113622e+006	(-3.93583641468286e+001,1.69430638171189e+002)
2.20263914058150e+006	(-3.93188801362042e+001,1.69366498375197e+002)
2.20771674820024e+006	(-3.92794021275864e+001,1.69302325583638e+002)
2.21280606091341e+006	(-3.92399301170665e+001,1.69238119640297e+002)
2.21790710570403e+006	(-3.92004641007258e+001,1.69173880389485e+002)
2.22301990961735e+006	(-3.91610040746354e+001,1.69109607676050e+002)
2.22814449976093e+006	(-3.91215500348547e+001,1.69045301345373e+002)
2.23328090330484e+006	(-3.90821019774307e+001,1.68980961243379e+002)
2.23842914748178e+006	(-3.90426598983966e+001,1.68916587216533e+002)
2.24358925958724e+006	(-3.90032237937713e+001,1.68852179111849e+002)
2.24876126697960e+006	(-3.89637936595579e+001,1.68787736776892e+002)
2.25394519708035e+006	(-3.89243694917429e+001,1.68723260059780e+002)
2.25914107737416e+006	(-3.88849512862950e+001,1.68658748809192e+002)
2.26434893540907e+006	(-3.88455390391644e+001,1.68594202874365e+002)
2.26956879879663e+006	(-3.88061327462810e+001,1.68529622105103e+002)
2.27480069521203e+006	(-3.87667324035543e+001,1.68465006351779e+002)
2.28004465239426e+006	(-3.87273380068714e+001,1.68400355465338e+002)
2.28530069814627e+006	(-3.86879495520966e+001,1.68335669297300e+002)
2.29056886033509e+006	(-3.86485670350697e+001,1.68270947699766e+002)
2.29584916689198e+006	(-3.86091904516056e+001,1.68206190525417e+002)
2.30114164581262e+006	(-3.85698197974925e+001,1.68141397627525e+002)
2.30644632515719e+006	(-3.85304550684911e+001,1.68076568859949e+002)
2.31176323305057e+006	(-3.84910962603337e+001,1.68011704077142e+002)
2.31709239768249e+006	(-3.84517433687224e+001,1.67946803134155e+002)
2.32243384730764e+006	(-3.84123963893287e+001,1.67881865886640e+002)
2.32778761024585e+006	(-3.83730553177917e+001,1.67816892190851e+002)
2.33315371488225e+006	(-3.83337201497176e+001,1.67751881903653e+002)
2.33853218966739e+006	(-3.82943908806778e+001,1.67686834882520e+002)
2.34392306311741e+006	(-3.82550675062081e+001,1.67621750985543e+002)
2.34932636381417e+006	(-3.82157500218078e+001,1.67556630071430e+002)
2.35474212040545e+006	(-3.81764384229378e+001,1.67491471999512e+002)
2.36017036160504e+006	(-3.81371327050199e+001,1.67426276629744e+002)
2.36561111619295e+006	(-3.80978328634356e+001,1.67361043822711e+002)
2.37106441301550e+006	(-3.80585388935245e+001,1.67295773439633e+002)
2.37653028098553e+006	(-3.80192507905833e+001,1.67230465342361e+002)
2.38200874908254e+006	(-3.79799685498647e+001,1.67165119393390e+002)
2.38749984635282e+006	(-3.79406921665758e+001,1.67099735455857e+002)
2.39300360190961e+006	(-3.79014216358772e+001,1.67034313393544e+002)
2.39852004493328e+006	(-3.78621569528813e+001,1.66968853070885e+002)
2.40404920467147e+006	(-3.78228981126514e+001,1.66903354352968e+002)
2.40959111043922e+006	(-3.77836451102003e+001,1.66837817105536e+002)
2.41514579161917e+006	(-3.77443979404889e+001,1.66772241194995e+002)
2.42071327766169e+006	(-3.77051565984248e+001,1.66706626488412e+002)
2.42629359808504e+006	(-3.76659210788614e+001,1.66640972853526e+002)
2.43188678247551e+006	(-3.76266913765961e+001,1.66575280158743e+002)
2.43749286048761e+006	(-3.75874674863693e+001,1.66509548273146e+002)
2.44311186184421e+006	(-3.75482494028626e+001,1.66443777066495e+002)
2.44874381633670e+006	(-3.75090371206980e+001,1.66377966409231e+002)
2.45438875382514e+006	(-3.74698306344362e+001,1.66312116172480e+002)
2.46004670423843e+006	(-3.74306299385752e+001,1.66246226228058e+002)
2.46571769757445e+006	(-3.73914350275491e+001,1.66180296448471e+002)
2.47140176390025e+006	(-3.73522458957265e+001,1.66114326706920e+002)
2.47709893335218e+006	(-3.73130625374092e+001,1.66048316877305e+002)
2.48280923613607e+006	(-3.72738849468306e+001,1.65982266834230e+002)
2.48853270252737e+006	(-3.72347131181547e+001,1.65916176453000e+002)
2.49426936287134e+006	(-3.71955470454742e+001,1.65850045609633e+002)
2.50001924758317e+006	(-3.71563867228090e+001,1.65783874180858e+002)
2.50578238714818e+006	(-3.71172321441054e+001,1.65717662044117e+002)
2.51155881212196e+006	(-3.70780833032337e+001,1.65651409077574e+002)
2.51734855313055e+006	(-3.70389401939875e+001,1.65585115160115e+002)
2.52315164087057e+006	(-3.69998028100817e+001,1.65518780171350e+002)
2.52896810610942e+006	(-3.69606711451513e+001,1.65452403991619e+002)
2.53479797968542e+006	(-3.69215451927496e+001,1.65385986501993e+002)
2.54064129250797e+006	(-3.68824249463469e+001,1.65319527584282e+002)
2.54649807555775e+006	(-3.68433103993289e+001,1.65253027121031e+002)
2.55236835988682e+006	(-3.68042015449949e+001,1.65186484995529e+002)
2.55825217661886e+006	(-3.67650983765568e+001,1.65119901091811e+002)
2.56414955694927e+006	(-3.67260008871369e+001,1.65053275294660e+002)
2.57006053214538e+006	(-3.66869090697667e+001,1.64986607489612e+002)
2.57598513354659e+006	(-3.66478229173851e+001,1.64919897562956e+002)
2.58192339256454e+006	(-3.66087424228369e+001,1.64853145401743e+002)
2.58787534068330e+006	(-3.65696675788711e+001,1.64786350893783e+002)
2.59384100945950e+006	(-3.65305983781394e+001,1.64719513927653e+002)
2.59982043052252e+006	(-3.64915348131945e+001,1.64652634392697e+002)
2.60581363557467e+006	(-3.64524768764881e+001,1.64585712179032e+002)
2.61182065639130e+006	(-3.64134245603699e+001,1.64518747177546e+002)
2.61784152482106e+006	(-3.63743778570853e+001,1.64451739279910e+002)
2.62387627278598e+006	(-3.63353367587740e+001,1.64384688378572e+002)
2.62992493228171e+006	(-3.62963012574682e+001,1.64317594366766e+002)
2.63598753537762e+006	(-3.62572713450910e+001,1.64250457138514e+002)
2.64206411421704e+006	(-3.62182470134544e+001,1.64183276588626e+002)
2.64815470101739e+006	(-3.61792282542580e+001,1.64116052612707e+002)
2.65425932807034e+006	(-3.61402150590868e+001,1.64048785107158e+002)
2.66037802774203e+006	(-3.61012074194094e+001,1.63981473969182e+002)
2.66651083247319e+006	(-3.60622053265769e+001,1.63914119096781e+002)
2.67265777477934e+006	(-3.60232087718201e+001,1.63846720388766e+002)
2.67881888725095e+006	(-3.59842177462485e+001,1.63779277744756e+002)
2.68499420255364e+006	(-3.59452322408482e+001,1.63711791065180e+002)
2.69118375342831e+006	(-3.59062522464797e+001,1.63644260251284e+002)
2.69738757269134e+006	(-3.58672777538768e+001,1.63576685205132e+002)
2.70360569323476e+006	(-3.58283087536442e+001,1.63509065829607e+002)
2.70983814802643e+006	(-3.57893452362555e+001,1.63441402028418e+002)
2.71608497011020e+006	(-3.57503871920518e+001,1.63373693706098e+002)
2.72234619260611e+006	(-3.57114346112394e+001,1.63305940768013e+002)
2.72862184871053e+006	(-3.56724874838883e+001,1.63238143120358e+002)
2.73491197169637e+006	(-3.56335457999296e+001,1.63170300670167e+002)
2.74121659491323e+006	(-3.55946095491542e+001,1.63102413325309e+002)
2.74753575178759e+006	(-3.55556787212106e+001,1.63034480994496e+002)
2.75386947582300e+006	(-3.55167533056027e+001,1.62966503587285e+002)
2.76021780060024e+006	(-3.54778332916882e+001,1.62898481014076e+002)
2.76658075977748e+006	(-3.54389186686763e+001,1.62830413186122e+002)
2.77295838709050e+006	(-3.54000094256260e+001,1.62762300015527e+002)
2.77935071635285e+006	(-3.53611055514437e+001,1.62694141415251e+002)
2.78575778145602e+006	(-3.53222070348812e+001,1.62625937299110e+002)
2.79217961636964e+006	(-3.52833138645339e+001,1.62557687581782e+002)
2.79861625514163e+006	(-3.52444260288387e+001,1.62489392178808e+002)
2.80506773189841e+006	(-3.52055435160717e+001,1.62421051006594e+002)
2.81153408084507e+006	(-3.51666663143459e+001,1.62352663982415e+002)
2.81801533626555e+006	(-3.51277944116097e+001,1.62284231024417e+002)
2.82451153252281e+006	(-3.50889277956444e+001,1.62215752051620e+002)
2.83102270405905e+006	(-3.50500664540619e+001,1.62147226983920e+002)
2.83754888539585e+006	(-3.50112103743027e+001,1.62078655742092e+002)
2.84409011113436e+006	(-3.49723595436339e+001,1.62010038247791e+002)
2.85064641595553e+006	(-3.49335139491467e+001,1.61941374423558e+002)
2.85721783462022e+006	(-3.48946735777542e+001,1.61872664192820e+002)
2.86380440196944e+006	(-3.48558384161894e+001,1.61803907479890e+002)
2.87040615292452e+006	(-3.48170084510029e+001,1.61735104209975e+002)
2.87702312248727e+006	(-3.47781836685603e+001,1.61666254309175e+002)
2.88365534574023e+006	(-3.47393640550404e+001,1.61597357704486e+002)
2.89030285784677e+006	(-3.47005495964327e+001,1.61528414323800e+002)
2.89696569405134e+006	(-3.46617402785348e+001,1.61459424095913e+002)
2.90364388967964e+006	(-3.46229360869508e+001,1.61390386950522e+002)
2.91033748013879e+006	(-3.45841370070880e+001,1.61321302818230e+002)
2.91704650091754e+006	(-3.45453430241555e+001,1.61252171630546e+002)
2.92377098758646e+006	(-3.45065541231609e+001,1.61182993319889e+002)
2.93051097579810e+006	(-3.44677702889088e+001,1.61113767819591e+002)
2.93726650128721e+006	(-3.44289915059977e+001,1.61044495063897e+002)
2.94403759987092e+006	(-3.43902177588179e+001,1.60975174987969e+002)
2.95082430744891e+006	(-3.43514490315489e+001,1.60905807527884e+002)
2.95762666000363e+006	(-3.43126853081572e+001,1.60836392620643e+002)
2.96444469360049e+006	(-3.42739265723934e+001,1.60766930204168e+002)
2.97127844438800e+006	(-3.42351728077901e+001,1.60697420217303e+002)
2.97812794859805e+006	(-3.41964239976592e+001,1.60627862599822e+002)
2.98499324254601e+006	(-3.41576801250892e+001,1.60558257292423e+002)
2.99187436263100e+006	(-3.41189411729432e+001,1.60488604236738e+002)
2.99877134533603e+006	(-3.40802071238556e+001,1.60418903375327e+002)
3.00568422722821e+006	(-3.40414779602300e+001,1.60349154651686e+002)
3.01261304495896e+006	(-3.40027536642365e+001,1.60279358010247e+002)
3.01955783526418e+006	(-3.39640342178089e+001,1.60209513396377e+002)
3.02651863496445e+006	(-3.39253196026424e+001,1.60139620756383e+002)
3.03349548096524e+006	(-3.38866098001906e+001,1.60069680037514e+002)
3.04048841025710e+006	(-3.38479047916630e+001,1.59999691187960e+002)
3.04749745991584e+006	(-3.38092045580221e+001,1.59929654156854e+002)
3.05452266710274e+006	(-3.37705090799809e+001,1.59859568894277e+002)
3.06156406906475e+006	(-3.37318183380003e+001,1.59789435351254e+002)
3.06862170313469e+006	(-3.36931323122858e+001,1.59719253479762e+002)
3.07569560673142e+006	(-3.36544509827852e+001,1.59649023232725e+002)
3.08278581736009e+006	(-3.36157743291857e+001,1.59578744564021e+002)
3.08989237261228e+006	(-3.35771023309109e+001,1.59508417428478e+002)
3.09701531016623e+006	(-3.35384349671182e+001,1.59438041781881e+002)
3.10415466778707e+006	(-3.34997722166958e+001,1.59367617580969e+002)
3.11131048332694e+006	(-3.34611140582598e+001,1.59297144783439e+002)
3.11848279472527e+006	(-3.34224604701514e+001,1.59226623347944e+002)
3.12567164000895e+006	(-3.33838114304341e+001,1.59156053234098e+002)
3.13287705729251e+006	(-3.33451669168903e+001,1.59085434402476e+002)
3.14009908477836e+006	(-3.33065269070188e+001,1.59014766814612e+002)
3.14733776075697e+006	(-3.32678913780318e+001,1.58944050433004e+002)
3.15459312360707e+006	(-3.32292603068515e+001,1.58873285221115e+002)
3.16186521179589e+006	(-3.31906336701074e+001,1.58802471143369e+002)
3.16915406387931e+006	(-3.31520114441333e+001,1.58731608165159e+002)
